rdate,rhour,central_western,eastern,kwun_tong,sham_shui_po,kwai_chung,tsuen_wan,tseung_kwan_o,yuen_long,tuen_mun,tung_chung,tai_po,shatin,tap_mun,causeway_bay,central,mong_kok
2017-05-03,18,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
2017-05-03,19,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
2017-05-03,20,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-03,21,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
2017-05-03,22,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-03,23,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-03,24,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-04,01,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-04,02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,04,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,05,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2017-05-04,06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,08,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2017-05-04,09,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
2017-05-04,10,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2
2017-05-04,11,2,2,3,2,3,3,2,3,3,3,2,2,2,4,3,3
2017-05-04,12,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
2017-05-04,13,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
2017-05-04,14,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4
2017-05-04,15,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4
2017-05-04,16,4,4,3,3,4,4,3,3,3,3,3,4,3,4,4,4
2017-05-04,17,4,4,3,4,4,4,3,3,3,4,3,4,3,5,4,4
2017-05-04,18,4,4,4,4,4,4,3,3,3,4,3,4,3,5,4,4
2017-05-04,19,4,4,4,4,4,4,3,3,4,4,3,3,3,5,5,5
2017-05-04,20,4,4,4,4,4,4,3,3,3,4,3,3,3,5,5,5
2017-05-04,21,3,4,4,4,4,3,3,4,3,3,3,3,2,5,5,4
2017-05-04,22,3,4,4,4,4,3,3,3,3,3,3,3,2,5,4,4
2017-05-04,23,3,4,4,4,3,3,3,3,3,3,3,3,2,5,4,4
2017-05-04,24,3,3,3,4,3,3,3,3,3,3,3,3,2,5,4,4
2017-05-05,01,4,3,3,4,3,3,3,3,3,3,3,3,2,5,4,4
2017-05-05,02,4,3,3,4,3,3,3,3,3,3,3,3,2,4,4,4
2017-05-05,03,4,3,3,4,3,2,3,3,3,3,2,3,2,4,4,4
2017-05-05,04,4,3,3,4,3,2,2,2,3,3,2,3,2,4,4,4
2017-05-05,05,4,3,3,4,3,2,2,2,3,3,2,3,2,3,3,4
2017-05-05,06,4,3,3,3,3,2,2,3,3,2,2,2,2,3,3,4
2017-05-05,07,4,3,3,3,3,2,2,3,3,2,2,2,2,4,3,4
2017-05-05,08,4,3,3,3,3,3,3,3,3,3,2,3,2,4,4,4
2017-05-05,09,4,4,3,4,3,3,3,3,4,3,3,3,2,5,5,4
2017-05-05,10,5,4,4,4,4,3,3,4,4,4,4,4,3,5,5,4
